number,title,state,created_at,updated_at,closed_at,body,labels,assignees,milestone,comments
11074,ExoPlaybackException occurs on some terminals,open,2023-03-17 10:12:18,2023-07-27 00:44:32,,"I added a comment to a previously CLOSED https://github.com/google/ExoPlayer/issues/10567, but did not receive a response, so I started a new issue.
This problem still occurs.
I have retrieved the `data` for the device where the error occurred, since there was a previous request for `ProvisioningRequest` `data`.
Please check it.

https://github.com/google/ExoPlayer/issues/10567#issuecomment-1465546828",['bug: in platform drm'],['rrfrias'],,7
11073,Failed to get key request,closed,2023-03-16 14:11:57,2023-06-20 01:05:39,2023-04-20 01:05:55,"Some of ours users are getting the error “Failed to get key request” when trying to download/stream Widevine content. This is an example of what we are seeing in user logs

    EXOPLAYER VERSION: 2.15.1 
    SDK:30 
    MODEL:ONEPLUS A6003
    com.google.android.exoplayer2.drm.DrmSession$DrmSessionException :: android.media.MediaDrm$MediaDrmStateException: Failed to get key request: General DRM error
	at com.google.android.exoplayer2.drm.DefaultDrmSession.t(DefaultDrmSession.java:2)
	at com.google.android.exoplayer2.drm.DefaultDrmSession.v(DefaultDrmSession.java:3)
	at com.google.android.exoplayer2.drm.DefaultDrmSession.C(DefaultDrmSession.java:4)
	at com.google.android.exoplayer2.drm.DefaultDrmSession.n(DefaultDrmSession.java:8)
	at com.google.android.exoplayer2.drm.DefaultDrmSession.a(DefaultDrmSession.java:9)
	at com.google.android.exoplayer2.drm.DefaultDrmSessionManager.v(DefaultDrmSessionManager.java:5)
	at com.google.android.exoplayer2.drm.DefaultDrmSessionManager.w(DefaultDrmSessionManager.java:1)
	at com.google.android.exoplayer2.drm.DefaultDrmSessionManager.s(DefaultDrmSessionManager.java:17)
	at com.google.android.exoplayer2.drm.DefaultDrmSessionManager.a(DefaultDrmSessionManager.java:3)
	at com.google.android.exoplayer2.drm.OfflineLicenseHelper.d(OfflineLicenseHelper.java:5)
	at com.google.android.exoplayer2.drm.OfflineLicenseHelper.b(OfflineLicenseHelper.java:2)
	at com.google.android.exoplayer2.drm.OfflineLicenseHelper.c(OfflineLicenseHelper.java:2)

Based on this ticket we found https://github.com/google/ExoPlayer/issues/8039,
we implemented a similar process to ‘force provision’ the device, but we are not sure if this will actually fix the issue and it invalidates the already downloaded Widevine content. We were hoping that a better solution is available. 

In our normal L1 flow, we check if the device is provisioned on startup and if it hasn’t we send the provisioning request. We do this to avoid the latency on the user’s first download or streaming attempt. We are considering removing this as a potential reason for error. Instead, we would rely on provision requests from Exoplayer at time of download/playback. We are not confident that this is the problem and it doesn’t fix the current user’s issues.

Is there any documentation around these errors? Are you aware of what could cause this failure and/or steps to resolve?
","['question', 'bug: in platform drm', 'closed-by-bot']",['rrfrias'],,3
11072,MiniPlayer in exoplayer,open,2023-03-16 14:11:51,2023-03-16 15:07:03,,How to Implement Mini Player View between switching fragments,['question'],['marcbaechinger'],,1
11071,Pass offlineLicenseKeySetId to App from DefaultDrmSession,closed,2023-03-16 13:09:55,2023-05-17 01:05:30,2023-03-17 11:14:12,"ExoPlayer version: 2.18.2
HW Platform: Generic Android TV

We have used MODE_DOWNLOAD to serve two purposes at the same time
- Play the encrypted OTT content
- Persist the license key to MediaDrm, so that for the next playback, we don't need to send another request to the DRM server. 

```
defaultDrmSessionManager.setMode(MODE_PLAYBACK, drmConfiguration.getKeySetId());
```

And according to the return from `MediaDrm.queryKeyStatus()`, this seems to be possible (PersistAllowed & PlayAllowed). Here are the logs

```
2023-03-16 13:07:17.589 12743-993   DefaultDrmSession       XXX         E  license status: key = PersistAllowed, value = True
2023-03-16 13:07:17.589 12743-993   DefaultDrmSession       XXX         E  license status: key = PlayAllowed, value = True
2023-03-16 13:07:17.589 12743-993   DefaultDrmSession       XXX         E  license status: key = PlaybackDurationRemaining, value = 795009
2023-03-16 13:07:17.589 12743-993   DefaultDrmSession       XXX         E  license status: key = LicenseDurationRemaining, value = 794781
2023-03-16 13:07:17.589 12743-993   DefaultDrmSession       XXX         E  license status: key = RenewalServerUrl, value = 
2023-03-16 13:07:17.589 12743-993   DefaultDrmSession       XXX         E  license status: key = RenewAllowed, value = False
2023-03-16 13:07:17.589 12743-993   DefaultDrmSession       XXX         E  license status: key = LicenseType, value = Offline
```

We have made a POC, and it seems work
- For the 1st run, we use MODE_DOWNLOAD and printout the `offlineLIcenseKeySetId` to logcat. The following is the sample code
```
  private void onKeyResponse(Object request, Object response) {// In DefaultDrmSession.java
      byte[] responseData = (byte[]) response;
//...     
      byte[] keySetId = mediaDrm.provideKeyResponse(sessionId, responseData);
      Log.e(TAG, ""offlineLicenseKeySetId = "" + Arrays.toString(keySetId));
```
- For the 2nd run, we copy & paste the offlineLicenseKeySetId from logcat and hardcode it
```
      byte[] offlineKeyId =  {107, 115, 105, 100, 70, 67, 70, 52, 57, 56, 51, 57}; // copied from the last run
      drmConfiguration = new MediaItem.DrmConfiguration.Builder(C.WIDEVINE_UUID)
              .setKeySetId(offlineKeyId)
```

The issue
-
We are have difficulty in passing `offlineLicenseKeySetId` in `DefaultDrmSession::onKeyResponse()` to the App layer elegantly. There are quite a few components in between, `DefaultDrmSessionManager`, `DefaultDrmSessionManagerProvider`... We'd really appreciate any suggestions.","['question', 'needs triage']",['icbaker'],,1
11070,Seeking for 4K HDR MP4 file is not working,closed,2023-03-16 09:28:20,2023-06-01 01:05:25,2023-03-20 08:59:58,"### ExoPlayer Version

2.18.4

### Devices that reproduce the issue

Any device.

### Devices that do not reproduce the issue

_No response_

### Reproducible in the demo app?

Yes

### Reproduction steps

Open the video.

### Expected result

Seeking is working.

### Actual result

Try to seek the video, it won't work.

### Media

Video link has been sent to dev email.

### Bug Report

- [ ] You will email the zip file produced by `adb bugreport` to dev.exoplayer@gmail.com after filing this issue.","['bug', 'bad media']",['christosts'],,2
11069,RTSP UDP->TCP failover inconsistency,closed,2023-03-16 03:32:26,2023-06-04 01:05:05,2023-04-04 10:10:49,"Hi, this is related to #9884

ExoPlayer has a feature with RTSP that if a UDP stream isn't received within a few seconds, it'll try again with TCP (Good feature)

If the server tells ExoPlayer that a UDP stream isn't available, and ""RTSP/1.0 461 Unsupported Transport"", it will NOT try TCP

Where this becomes a problem: If WMPlayer connects to a server with UDP available, and it doesn't receive a stream within a few seconds, it doesn't failover to TCP 

I can do a work-around to tell WMPlayer clients that UDP is unavailable as a transport based on the User-Agent, but this does leave ExoPlayer clients waiting a few more seconds for video to start.

* VRChat
* AVPro (video widget)
* Windows Media API or ExoPlayer depending on platform

Is there a reason to not understand the ""Unsupported Transport"" response? I notice that a LibVLC supports this. ",['question'],['microkatz'],,1
11068,video downloading is stop at the same point,closed,2023-03-16 02:50:38,2023-06-01 01:05:25,2023-03-20 05:04:22,"
![225493117-9f975692-dcd9-4a3f-a733-8d4a311bc42c](https://user-images.githubusercontent.com/89774934/225498100-fedc606d-7829-4805-9f86-57f03225415f.png)

please i need help
I have observed that when the network connection is lost, the local database metadata is set to 0000000, and when the network connection is restored, video download stops at the same point. It seems that the cache data has been corrupted, and the data source is attempting to read it.","['question', 'need more info']",['marcbaechinger'],,2
11067,HTTP URIs not supported,closed,2023-03-15 19:08:34,2023-05-15 01:05:27,2023-03-15 20:33:20,"Hello! 
Dont work playing audio from URL ""http://78.129.229.120:10741/""
How can fix it?",['question'],['marcbaechinger'],,1
11066,Getting exception: com.google.android.exoplayer2.ExoPlaybackException: MediaCodecAudioRenderer,closed,2023-03-15 15:34:53,2023-08-12 01:04:33,2023-06-12 01:05:52,"Hi according to our support team we are getting next exception: 


com.google.android.exoplayer2.ExoPlaybackException: MediaCodecAudioRenderer error, index=1, format=Format(null, null, null, audio/raw, null, -1, null, [-1, -1, -1.0], [2, 48000]), format_supported=YES at com.google.android.exoplayer2.ExoPlayerImplInternal.handleMessage(:43) at android.os.Handler.dispatchMessage(Handler.java:103) at android.os.Looper.loop(Looper.java:214) at android.os.HandlerThread.run(HandlerThread.java:67) Caused by: com.google.android.exoplayer2.audio.AudioSink$InitializationException: AudioTrack init failed 0 Config(48000, 12, 65600) at com.google.android.exoplayer2.audio.DefaultAudioSink$Configuration.buildAudioTrack(:7) at com.google.android.exoplayer2.audio.DefaultAudioSink.buildAudioTrack(:1) at com.google.android.exoplayer2.audio.DefaultAudioSink.buildAudioTrackWithRetry(:1) at com.google.android.exoplayer2.audio.DefaultAudioSink.initializeAudioTrack(:2) at com.google.android.exoplayer2.audio.DefaultAudioSink.handleBuffer(:16) at com.google.android.exoplayer2.audio.MediaCodecAudioRenderer.processOutputBuffer(:7) at com.google.android.exoplayer2.mediacodec.MediaCodecRenderer.drainOutputBuffer(:32) at com.google.android.exoplayer2.mediacodec.MediaCodecRenderer.render(:16) at com.google.android.exoplayer2.ExoPlayerImplInternal.doSomeWork(:14) at com.google.android.exoplayer2.ExoPlayerImplInternal.handleMessage(:25) ... 3 more Suppressed: com.google.android.exoplayer2.audio.AudioSink$InitializationException: AudioTrack init failed 0 Config(48000, 12, 65600) ... 13 more Caused by: java.lang.UnsupportedOperationException: Cannot create AudioTrack at android.media.AudioTrack$Builder.build(AudioTrack.java:1018) at com.google.android.exoplayer2.audio.DefaultAudioSink$Configuration.createAudioTrackV29(:11) at com.google.android.exoplayer2.audio.DefaultAudioSink$Configuration.createAudioTrack(:2) at com.google.android.exoplayer2.audio.DefaultAudioSink$Configuration.buildAudioTrack(:1) ... 12 more Caused by: java.lang.UnsupportedOperationException: Cannot create AudioTrack at android.media.AudioTrack$Builder.build(AudioTrack.java:1018) at com.google.android.exoplayer2.audio.DefaultAudioSink$Configuration.createAudioTrackV29(:11) at com.google.android.exoplayer2.audio.DefaultAudioSink$Configuration.createAudioTrack(:2) at com.google.android.exoplayer2.audio.DefaultAudioSink$Configuration.buildAudioTrack(:1) ... 12 more

I have investigated this error and I found that main possible reasons: 

- **Memory leak in the application**, not releasing the player resources can cause the initialisation of the application to fail. That cause has been ruled out as it has been checked that the player instance is freed correctly.

- **We can see in the logs that audio decoder is released after getting an error first time**: 

audioDecoderReleased [eventTime=1.67, mediaPos=30.70, window=0, period=0, c2.android.aac.decoder]

After that we retry and we still get the same error. 

- **Unsupported audio format**: audio codec used is:  audio/mp4a-latm ,  according to the logs we can see the format is supported by the device.

**- Bad media?? audio chunks are corrupted.** 


Do you have any idea more what could be the root of the cause? Since it is not really clear wha could be the reason apart from bad media chunks being returned from the content source.

I have sent report a logs to exoplayer gmail account.  





 
","['question', 'bug: device specific', 'closed-by-bot']",['christosts'],,6
11065,"It works with the default MediaPlayer, but not with Exoplayer. (attached a demo file)",closed,2023-03-15 06:17:54,2023-05-15 01:05:28,2023-03-15 23:34:24,"### ExoPlayer Version

2.18.4

### Devices that reproduce the issue

target device : Quber QUBER QR1G_M110S (Android Pie. AOSP)

demo file url
[https://drive.google.com/file/d/1hj8_q1D6bAjco6IjQ2wSmOKBPci2_sCO/view?usp=share_link](https://drive.google.com/file/d/1hj8_q1D6bAjco6IjQ2wSmOKBPci2_sCO/view?usp=share_link)
(27s 70MB)



Hello, I am developing a player that plays local files using exoPlayer. Most files are played well, but only the attached file does not play. I have checked the file specification as follows.

The error that occurs is as follows. 
```
 vcodec counter : DecoderCounters {
  decoderInits=1,
  decoderReleases=0
  queuedInputBuffers=811
  skippedInputBuffers=0
  renderedOutputBuffers=0 // I think this line is the problem
  skippedOutputBuffers=0
  droppedBuffers=0
  droppedInputBuffers=0
  maxConsecutiveDroppedBuffers=0
  droppedToKeyframeEvents=0
  totalVideoFrameProcessingOffsetUs=0
  videoFrameProcessingOffsetCount=0
 }
```

The attempted solutions are as follows.
```
1.  val trackSelector = DefaultTrackSelector(this)
        val trackSelectionParameters = trackSelector.parameters
            .buildUpon()
            .setForceHighestSupportedBitrate(true)
            //    .setAllowNonSeamlessAdaptiveness(true) // important!
            .setAllowVideoNonSeamlessAdaptiveness(true)
            .setAllowVideoMixedDecoderSupportAdaptiveness(true)
            .build()
        trackSelector.parameters = trackSelectionParameters

 2. val loadControl = DefaultLoadControl.Builder()
            .setBufferDurationsMs(32 * 1024, 64 * 1024, 1024, 1024) // set buffer size!
            .build()
```
Thank you.

ps
I received help as fllows

https://github.com/google/ExoPlayer/issues/2979
https://github.com/google/ExoPlayer/issues/1894
https://github.com/google/ExoPlayer/issues/2657

### Devices that do not reproduce the issue

_No response_

### Reproducible in the demo app?

Yes

### Reproduction steps

Demo file

[https://drive.google.com/file/d/1hj8_q1D6bAjco6IjQ2wSmOKBPci2_sCO/view?usp=share_link](https://drive.google.com/file/d/1hj8_q1D6bAjco6IjQ2wSmOKBPci2_sCO/view?usp=share_link)

### Expected result

Playing demo file

### Actual result

2023-03-15 14:41:53.887 E: this frame is Error frame!,pOutput.timeUs = 1000026342983
...(1000 or more)...



### Media

demo uri
[https://drive.google.com/file/d/1hj8_q1D6bAjco6IjQ2wSmOKBPci2_sCO/view?usp=share_link]https://drive.google.com/file/d/1hj8_q1D6bAjco6IjQ2wSmOKBPci2_sCO/view?usp=share_link

No license restrictions

### Bug Report

- [ ] You will email the zip file produced by `adb bugreport` to dev.exoplayer@gmail.com after filing this issue.",['bug: device specific'],['marcbaechinger'],,2
11064,Fix VP9 color space parsing in MP4 atom parser,closed,2023-03-15 00:13:57,2023-05-16 01:05:27,2023-03-16 16:57:23,"This adds VP9 color space parsing in MP4 vpcC atom.

Please refer to VP9 MP4 atom syntax documentation: https://www.webmproject.org/vp9/mp4/#syntax_1

This fix is needed to have correct color space parsing in vpcC atom because Instagram serves HDR VP9 encodings in MP4 containers.",['should merge'],['rohitjoins'],,2
11063,Fix VP9 color space parsing in MP4 atom parser,closed,2023-03-15 00:11:30,2023-05-14 01:04:59,2023-03-15 00:13:30,"This adds vpcC atom parsing based on the open-source FFmpeg implementation (https://github.com/FFmpeg/FFmpeg/blob/master/libavformat/vpcc.c#L213)

This fix is needed to have correct color space parsing in vpcC atom because Instagram serves HDR VP9 encodings in MP4 containers.",[],[],,1
11062,r2.18.5,closed,2023-03-14 17:57:36,2023-06-01 01:05:26,2023-03-22 09:49:38,,[],['tonihei'],,0
11061,Add DTSUHDSpecificBox (udts) support to parseAudioSampleEntry().,closed,2023-03-14 08:34:29,2023-05-16 01:05:28,2023-03-16 16:49:10,"Add DTSUHDSpecificBox (udts) support to parseAudioSampleEntry(). 'udts' box is defined in Table B-2 of
ETSI TS 103 491 V1.2.1 (2019-05) DTS-UHD Audio Format; Delivery of Channels, Objects and Ambisonic Sound Fields.
",['should merge'],['rohitjoins'],,0
11060,ExoPlayer - Player is accessed on the wrong thread with RxJava2,closed,2023-03-13 12:18:57,2023-05-14 01:05:00,2023-03-14 12:26:23,"From past developers, I got a large library, which is built on the basis of ExoPlayer, which allows you to listen to audio books.

Everything worked fine until the library itself had to update the version of ExoPlayer to a newer one (this was very important)

In short: there is a small interface that has a ProgressBar showing how many seconds the audio has already been playing. Here is the code for this:

```
private lateinit var mExoPlayer : ExoPlayer

private val compositeDisposable = CompositeDisposable()
private val currentTrackProgress = MutableLiveData<Long>()

private var currentTrackProgressDisposable : Disposable? = null
private val playbackProgressObservable : Observable<Long> =
    Observable.interval(1, TimeUnit.MILLISECONDS).map {
        mExoPlayer.currentPosition
    }.observeOn(AndroidSchedulers.mainThread())

////////////////////// So many code here
////////////////////// Somewhere there is a call to the ""createExoPlayer()"" function

private fun createExoPlayer() {
    mExoPlayer = ExoPlayer.Builder(this).build()

    mExoPlayer.addListener(object : Player.Listener {

        override fun onIsPlayingChanged(isPlaying : Boolean) {
            if (isPlaying) {
                currentTrackProgressDisposable = playbackProgressObservable.subscribeBy(
                    onError = { error ->
                        Log.d(""error"", error.toString())
                    },
                    onNext = { progress ->
                        currentTrackProgress.value = progress
                    }
                )
                compositeDisposable.add(currentTrackProgressDisposable!!)
            }
        }
    })

    mExoPlayer.playWhenReady = true
}
```
Before updating ExoPlayer version, everything worked fine, but after updating to the latest version, an error began to appear in onError:

java.lang.IllegalStateException: Player is accessed on the wrong thread.
Current thread: 'RxComputationThreadPool-7'
Expected thread: 'main'

```
java.lang.IllegalStateException: Player is accessed on the wrong thread.
Current thread: 'RxComputationThreadPool-7'
Expected thread: 'main'
See https://exoplayer.dev/issues/player-accessed-on-wrong-thread
     at com.google.android.exoplayer2.ExoPlayerImpl.verifyApplicationThread(ExoPlayerImpl.java:2668)
     at com.google.android.exoplayer2.ExoPlayerImpl.getCurrentPosition(ExoPlayerImpl.java:1058)
     at  xx.xx.xx.xxx.xxx..ExoBasePlayer.getCurrentPositionMs(Unknown Source:4)
     at  xx.xx.xx.xxx.xxx..AudioPlayer.getCurrentPosition(Unknown Source:2)
     at  xx.xx.xx.xxx.xxx..player.MediaSessionController.getCurrentPlaybackState(Unknown Source:2)
     at  xx.xx.xx.xxx.xxx..MediaSessionController.init$lambda-6(Unknown Source:82)
     at xx.xx.xx.xxx.xxx.MediaSessionController.$r8$lambda$VsMb3HHeQpuRrgGgnxPJqHRLzD8(Unknown Source:0)
     at xx.xxx.xx.xx.xx.xx.MediaSessionController$$ExternalSyntheticLambda4.apply(Unknown Source:4)
     at io.reactivex.internal.operators.observable.ObservableSwitchMap$SwitchMapObserver.onNext(ObservableSwitchMap.java:111)
     at io.reactivex.internal.operators.observable.ObservableFilter$FilterObserver.onNext(ObservableFilter.java:52)
     at io.reactivex.observers.SerializedObserver.onNext(SerializedObserver.java:111)
     at io.reactivex.internal.operators.observable.ObservableBufferTimed$BufferExactUnboundedObserver.accept(ObservableBufferTimed.java:213)
     at io.reactivex.internal.operators.observable.ObservableBufferTimed$BufferExactUnboundedObserver.accept(ObservableBufferTimed.java:81)
     at io.reactivex.internal.observers.QueueDrainObserver.fastPathEmit(QueueDrainObserver.java:69)
     at io.reactivex.internal.operators.observable.ObservableBufferTimed$BufferExactUnboundedObserver.run(ObservableBufferTimed.java:208)
     at io.reactivex.internal.schedulers.ScheduledDirectPeriodicTask.run(ScheduledDirectPeriodicTask.java:38)
     at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:463)
     at java.util.concurrent.FutureTask.runAndReset(FutureTask.java:305)
     at java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run(ScheduledThreadPoolExecutor.java:308)
     at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1137)
     at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:637)
     at java.lang.Thread.run(Thread.java:1012)
```

What could be the reason for this and how to fix it? After all, I didn’t even update the RxJava2 version, but only updated ExoPlayer",['question'],['marcbaechinger'],,2
11059,Pixel 7/7 Pro freezes when repeating task switching while playing widevine content,open,2023-03-13 12:17:09,2023-07-25 21:37:56,,"### ExoPlayer Version

2.18.2

### Devices that reproduce the issue

* Pixel 7 running on Android 13 (TQ1A.230205.002)
* Pixel 7 Pro running on Android 13

### Devices that do not reproduce the issue

* Pixel 6 running on Android 13 (TQ1A.230205.002)

### Reproducible in the demo app?

Yes

### Reproduction steps

1. Play `Widevine DASH (MP4, H264 > HD (cenc)` video
2. Until displayed recents screen swipe up the bottom of the screen
3. Tap ExoPlayer demo app
4. Repeat step 2 to 3

### Expected result

Continuous playback without freeze

### Actual result

Freeze UI and reboot device

### Media

`Widevine DASH (MP4, H264) > HD (cenc)`

### Bug Report

- [X] You will email the zip file produced by `adb bugreport` to dev.exoplayer@gmail.com after filing this issue.","['bug', 'bug: in platform drm']",['rrfrias'],,4
11058,seekTo restarts audio stream,open,2023-03-13 12:04:04,2023-03-14 11:19:56,,"I'm using ExoPlayer 2.11.8, but I tried the latest version as well, the result is the same I have an MP3 file on the server https://xp4stm90bvzr.frontroute.org/s02/images/audiobooks/1/8/1/files/01--glava-1.mp3, to access the file you need to specify headers user agent and referer = ""https://audiobook-mp3.com/"". When loading ProgressiveMediaSource sets isSeeking = false and isLive = true. Other files work fine. I already tried setting Mp3Extractor.FLAG_ENABLE_CONSTANT_BITRATE_SEEKING and setConstantBitrateSeekingEnabled = true didn't help",['question'],['marcbaechinger'],,9
