number,title,state,created_at,updated_at,closed_at,body,labels,assignees,milestone,comments
10972,Is it possible to cache a frame and starts decode from it instead of decoding from the nearest I frame?,closed,2023-02-09 07:51:26,2023-04-22 01:05:18,2023-02-20 16:16:40,"I want to improve the seek time of so that when users scrub the seek bar they'll have smooth preview of the video just like IOS media player or the Samsung gallery app.

I'm using `seekTo` to implement this feature but it's pretty slow if the frame is far from the I frame. My video is usually a short video of 2 - 4 seconds so it has only 1 or 2 I frames at most. 1 at the start and 1 close to the end of the video.

So I was wondering if I can cache some decoded frame and feed it into the decoder and start decode from there. If this can be done it would greatly improve the seek time.",['question'],['christosts'],,6
10971,Presumed incompatibility Authentication Hikvision & Foscam RTSP URL's,closed,2023-02-08 13:35:21,2023-04-17 01:05:41,2023-02-15 10:35:57,"### ExoPlayer Version

2.18.2

### Devices that reproduce the issue

Samsung Android 10 Note8

### Devices that do not reproduce the issue

_No response_

### Reproducible in the demo app?

Yes

### Reproduction steps


    Create new solution
    Prove to yourself that the specific given model of the Foscam and/or Hikvision camera is up and running with any other validation method (for example vlc or a previous xamarin forms project)
    Set the mediaelement source as the proven working rtsp url with authentication (use specific hikvision and foscam models)
    Run your Android app (debug or release)
    Check the log for the above fatal app crash


### Expected result

Handles auth headers well and doesnt crash the app

### Actual result

Crashes the app at current time with following error:

""
[AndroidRuntime] FATAL EXCEPTION: ExoPlayer:Playback
[AndroidRuntime] Process: com.solid.HomeCon, PID: 18345
[AndroidRuntime] java.lang.IllegalArgumentException
[AndroidRuntime] at com.google.android.exoplayer2.util.Assertions.checkArgument(Assertions.java:39)
[AndroidRuntime] at com.google.android.exoplayer2.source.rtsp.RtspMediaTrack.generatePayloadFormat(RtspMediaTrack.java:260)
[AndroidRuntime] at com.google.android.exoplayer2.source.rtsp.RtspMediaTrack.(RtspMediaTrack.java:161)
[AndroidRuntime] at com.google.android.exoplayer2.source.rtsp.RtspClient.buildTrackList(RtspClient.java:347)
[AndroidRuntime] at com.google.android.exoplayer2.source.rtsp.RtspClient.access$1700(RtspClient.java:75)
[AndroidRuntime] at com.google.android.exoplayer2.source.rtsp.RtspClient$MessageListener.onDescribeResponseReceived(RtspClient.java:690)
[AndroidRuntime] at com.google.android.exoplayer2.source.rtsp.RtspClient$MessageListener.handleRtspResponse(RtspClient.java:598)
[AndroidRuntime] at com.google.android.exoplayer2.source.rtsp.RtspClient$MessageListener.handleRtspMessage(RtspClient.java:507)
[AndroidRuntime] at com.google.android.exoplayer2.source.rtsp.RtspClient$MessageListener.lambda$onRtspMessageReceived$0$com-google-android-exoplayer2-source-rtsp-RtspClient$MessageListener(RtspClient.java:500)
[AndroidRuntime] at com.google.android.exoplayer2.source.rtsp.RtspClient$MessageListener$$ExternalSyntheticLambda0.run(Unknown Source:4)
[AndroidRuntime] at android.os.Handler.handleCallback(Handler.java:883)
[AndroidRuntime] at android.os.Handler.dispatchMessage(Handler.java:100)
[AndroidRuntime] at android.os.Looper.loop(Looper.java:237)
[AndroidRuntime] at android.os.HandlerThread.run(HandlerThread.java:67)
[m.solid.HomeCo] 0xebadde09 skipped times: 0
[libc] exiting due to SIG_DFL handler for signal 11""

Hikvision IP camera model HWI-D140H x 3 works great without any problems (rtsp://user:pswd@ip:554/ch1/sub/live)
Hikvision Doorbell camera model DS-KD8003-IME1 x1 crashes the app (maui toolkit rtsp://user:pswd@ip:554/ch1/sub/live works both in vlc win and xamarin forms)
Foscam IP camera model R4M x 1 crashes the app (maui toolkit rtsp://user:pswd@ip:88/ch1/sub/live, works both in vlc win and xamarin forms)
Foscam IP camera model R4M-B x 1 crashes the app (maui toolkit rtsp://user:pswd@ip:88/ch1/sub/live, works both in vlc win and xamarin forms)


### Media

https://1drv.ms/u/s!AqVY9RkzgdHIrRJpCfa_rIgyBW7A?e=8oxTBc (maui toolkit with Exoplayer implementation)

Exoplayer issue that has been started initially in Maui toolkit github repo https://github.com/CommunityToolkit/Maui/issues/972

### Bug Report

- [ ] You will email the zip file produced by `adb bugreport` to dev.exoplayer@gmail.com after filing this issue.",['bug'],['microkatz'],,6
10970,NetworkTypeObserver doesn't update it's initial value after creation,closed,2023-02-08 09:02:13,2023-06-04 01:05:09,2023-04-04 08:32:11,"### ExoPlayer Version

2.18.2

### Devices that reproduce the issue

Pixel 6 running Android 13

### Devices that do not reproduce the issue

_No response_

### Reproducible in the demo app?

No

### Reproduction steps

Can't find a real auto-quality dash-vp9 video in demo app - it always asks to choose quality before playback start.

The issue is in adaptive quality selection - due to initially low bandwidth, player choose low quality at the start of playback.

### Expected result

Video starts with good quality, accordingly to actual network bandwidth. 


### Actual result

Video starts with bad quality, because of low initial bandwidth

I investigated the issue, and it seems like `NetworkTypeObserver#Receiver#onReceive `method doesn't get called after registering broadcast receiver (even later, 'asynchronously'). 

Seems like `NetworkTypeObservers`' internal impl expects sticky behavior from BroadcastReceiver (so it would receive last network type after receiver registering) - but actually it doesn't work this way.

Moreover, https://developer.android.com/reference/android/net/ConnectivityManager#CONNECTIVITY_ACTION is deprecated and Google advices to use `NetworkCallback` or/and direct call to `ConnectivityManager#requestBandwidthUpdate()` to force-receive current network state and it's bandwidth. 

### Media

Not applicable

### Bug Report

- [ ] You will email the zip file produced by `adb bugreport` to dev.exoplayer@gmail.com after filing this issue.",['bug: in platform'],['tonihei'],,1
10969,Closed-captions (WebVTT) subtitles won't show up for HLS live-stream,closed,2023-02-08 08:18:08,2023-07-08 01:05:16,2023-05-08 06:57:33,"Hello!

I'm investigating a issue where a HLS live-stream closed-captions subtitle (WebVTT) track is selectable and available, but won't show any subs. It seems to be the same problem with both HLS + DAI and HLS without DAI.

Same stream with subtitles works OK for Shaka Player (Web).

**I've sent a link to a HLS (DAI) live-stream privately by email where there are CC subtitles available, but only for certain content.**


When trying to find the root cause I found something of interest where the Cues are filtered out in step 3. of this flow:

1. subtitle.getCues(positionUs), presentationTimeUs) 
[TextRenderer.java#L260](https://github.com/google/ExoPlayer/blob/3a654c1f54e19f261e717282fe42168b38d7e96c/library/core/src/main/java/com/google/android/exoplayer2/text/TextRenderer.java#L260)

2. Assertions.checkNotNull(subtitle).getCues(timeUs - subsampleOffsetUs)
[SubtitleOutputBuffer.java#L63](https://github.com/google/ExoPlayer/blob/3a654c1f54e19f261e717282fe42168b38d7e96c/library/extractor/src/main/java/com/google/android/exoplayer2/text/SubtitleOutputBuffer.java#L63)

3. if ((cueTimesUs[i * 2] <= timeUs) && (timeUs < cueTimesUs[i * 2 + 1]))
[WebvttSubtitle.java#L72](https://github.com/google/ExoPlayer/blob/3a654c1f54e19f261e717282fe42168b38d7e96c/library/extractor/src/main/java/com/google/android/exoplayer2/text/webvtt/WebvttSubtitle.java#L72)

I noticed that in step 2. of the flow, the subsampleOffsetUs might be wrong.
Example:
timeUs = 1000084419695
subsampleOffsetUs = -1638780233473066

This leading to step 3. will give values like:
if ((cueTimesUs[i * 2] <= timeUs) && (timeUs < cueTimesUs[i * 2 + 1]))
if ((57244202000  <= 1639780317892761) && (1639780317892761< 57245002000))


My questions are:
- What affects the value of subsampleOffsetUs and where is it set originally?
- Do you have any ideas what could be the issue here?

Thanks for the help.
","['question', 'bad media']",['icbaker'],,12
10968,Dev v2 dlb/oss/contribution 01,closed,2023-02-07 23:16:15,2023-08-01 01:05:08,2023-06-01 12:49:05,,[],['tianyif'],,7
10967,Is it possible set interval between MediaItems,closed,2023-02-07 15:11:56,2023-04-12 01:06:06,2023-02-10 08:09:35,"Hi
I have list of media items and i need set interval between media items like below image:
![mediaItems](https://user-images.githubusercontent.com/20900080/217283761-4672b67e-cde0-4817-a7ff-9043516cd399.png)
when stop box1 set 6 second interval and play box 2 , ...

is it possible?",['question'],['marcbaechinger'],,2
10966,Our application reported error: com.google.android.exoplayer2.ExoPlaybackException: Unexpected runtåime error,closed,2023-02-06 10:04:53,2023-05-07 01:05:05,2023-03-07 02:06:42,"### ExoPlayer Version

2.17.1

### Devices that reproduce the issue

SHARK PRS-A0 android11
The above is the device that has the problem, but this problem is an occasional problem, not a certain one. We have not been able to reproduce this problem manually.

### Devices that do not reproduce the issue

_No response_

### Reproducible in the demo app?

Not tested

### Reproduction steps

We have not found a regularity for this problem.

### Expected result

play normal,unexpected runtåime error will not appear.

### Actual result

we found error
com.google.android.exoplayer2.ExoPlaybackException: Unexpected runtime error
com.google.android.exoplayer2.g2.d(Unknown Source:8)
com.google.android.exoplayer2.f0.invoke(Unknown Source:2)
com.google.android.exoplayer2.util.s$c.a(Unknown Source:17)
com.google.android.exoplayer2.util.s.a(Unknown Source:16)
com.google.android.exoplayer2.util.a.run(Unknown Source:6)
com.google.android.exoplayer2.util.s.a(Unknown Source:66)
com.google.android.exoplayer2.util.s.b(Unknown Source:3)
com.google.android.exoplayer2.g2.release(Unknown Source:152)
com.google.android.exoplayer2.l3.release(Unknown Source:5)

### Media

All videos cannot be played after this issue occurs

### Bug Report

- [X] You will email the zip file produced by `adb bugreport` to dev.exoplayer@gmail.com after filing this issue.","['needs triage', 'closed-by-bot']",['tianyif'],,3
10965,Some bmp ts can't play,closed,2023-02-06 03:55:22,2023-04-18 01:05:50,2023-02-16 19:36:37,"### ExoPlayer Version

2.18.2

### Devices that reproduce the issue

* Samsung Galaxy S10+

### Devices that do not reproduce the issue

None

### Reproducible in the demo app?

Yes

### Reproduction steps

Play hls url
1. http://t.grelighting.cn/m3u8/djVxNWlDcUE5U3RDMnNXTUNqQlJ2NVFHdkptWnp0dWQ=.m3u8
2. http://t.grelighting.cn/m3u8/L3RKU1R4MGVQUkdSNjB3cFVHVjJZRDRUTkcxUWpVQzg=.m3u8

### Expected result

1. can play
2. can play

### Actual result

1. can play
2. can't play

### Media

1. http://t.grelighting.cn/m3u8/djVxNWlDcUE5U3RDMnNXTUNqQlJ2NVFHdkptWnp0dWQ=.m3u8
2. http://t.grelighting.cn/m3u8/L3RKU1R4MGVQUkdSNjB3cFVHVjJZRDRUTkcxUWpVQzg=.m3u8

### Bug Report

- [ ] You will email the zip file produced by `adb bugreport` to dev.exoplayer@gmail.com after filing this issue.",['bad media'],['tianyif'],,2
10964,Playing M4A produces a lot of sequential onTimelineChanged events with the reason SOURCE_UPDATE,open,2023-02-05 02:02:59,2023-02-22 18:32:06,,"### ExoPlayer Version

2.18.2

### Devices that reproduce the issue

All devices and emulators.

### Devices that do not reproduce the issue

_No response_

### Reproducible in the demo app?

Yes

### Reproduction steps

Play the attached file in the demo app.

### Expected result

Exoplayer doesn't produces so many heavy events sequentially.

### Actual result

Exoplayer produces many `onTimelineChanged` events which finally triggers heavy `PlayerNotificationManager#startOrUpdateNotification` and `MediaSessionConnector.ComponentListener#onEvents` (`TimelineQueueNavigator#publishFloatingQueueWindow`, `MediaSessionConnector#invalidateMediaSessionMetadata` and `MediaSessionConnector#invalidateMediaSessionPlaybackState`).
Because of this my app freezes for 5-15 seconds or even crashes at start of playing attached m4a.
Demo app doesn't freeze (because doesn't has a notification and media session connection), but also generates many events.

![image](https://user-images.githubusercontent.com/49683084/220690101-d8e6eb2f-2306-4e61-8ca7-9a3ec2034c2c.png)
![image](https://user-images.githubusercontent.com/49683084/220690379-16c04994-391f-4139-9ef0-3160f9bae315.png)

I did a little digging and got the following:
- Log of the EventLogger:
```
2023-02-05 02:40:22.261 29007-29007 EventLogger    D  timeline [eventTime=12.61, mediaPos=0.00, window=0, periodCount=1, windowCount=1, reason=PLAYLIST_CHANGED
2023-02-05 02:40:22.261 29007-29007 EventLogger    D    period [?]
2023-02-05 02:40:22.261 29007-29007 EventLogger    D    window [?, seekable=false, dynamic=true]
2023-02-05 02:40:22.261 29007-29007 EventLogger    D  ]
2023-02-05 02:40:22.261 29007-29007 EventLogger    D  mediaItem [eventTime=12.61, mediaPos=0.00, window=0, reason=PLAYLIST_CHANGED]
2023-02-05 02:40:22.263 29007-29007 EventLogger    D  state [eventTime=12.62, mediaPos=0.00, window=0, BUFFERING]
2023-02-05 02:40:22.268 29007-29007 EventLogger    D  playWhenReady [eventTime=12.62, mediaPos=0.00, window=0, true, USER_REQUEST]
2023-02-05 02:40:22.295 29007-29007 EventLogger    D  timeline [eventTime=12.65, mediaPos=0.00, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:22.295 29007-29007 EventLogger    D    period [?]
2023-02-05 02:40:22.295 29007-29007 EventLogger    D    window [?, seekable=false, dynamic=false]
2023-02-05 02:40:22.295 29007-29007 EventLogger    D  ]
2023-02-05 02:40:22.297 29007-29007 EventLogger    D  loading [eventTime=12.65, mediaPos=0.00, window=0, period=0, true]
2023-02-05 02:40:22.311 29007-29007 EventLogger    D  timeline [eventTime=12.66, mediaPos=0.00, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:22.311 29007-29007 EventLogger    D    period [1.00]
2023-02-05 02:40:22.311 29007-29007 EventLogger    D    window [1.00, seekable=true, dynamic=false]
2023-02-05 02:40:22.311 29007-29007 EventLogger    D  ]
2023-02-05 02:40:22.332 29007-29007 EventLogger    D  audioEnabled [eventTime=12.69, mediaPos=0.00, window=0, period=0]
2023-02-05 02:40:22.334 29007-29007 EventLogger    D  tracks [eventTime=12.69, mediaPos=0.00, window=0, period=0
2023-02-05 02:40:22.334 29007-29007 EventLogger    D    group [
2023-02-05 02:40:22.334 29007-29007 EventLogger    D      [X] Track:0, id=1, mimeType=audio/mp4a-latm, bitrate=256000, codecs=mp4a.40.2, channels=2, sample_rate=48000, language=und, supported=YES
2023-02-05 02:40:22.334 29007-29007 EventLogger    D    ]
2023-02-05 02:40:22.334 29007-29007 EventLogger    D  ]
2023-02-05 02:40:22.334 29007-29007 EventLogger    D  downstreamFormat [eventTime=12.69, mediaPos=0.00, window=0, period=0, id=1, mimeType=audio/mp4a-latm, bitrate=256000, codecs=mp4a.40.2, channels=2, sample_rate=48000, language=und]
2023-02-05 02:40:22.454 29007-29007 EventLogger    D  audioDecoderInitialized [eventTime=12.81, mediaPos=0.00, window=0, period=0, c2.android.aac.decoder]
2023-02-05 02:40:22.455 29007-29007 EventLogger    D  audioInputFormat [eventTime=12.81, mediaPos=0.00, window=0, period=0, id=1, mimeType=audio/mp4a-latm, bitrate=256000, codecs=mp4a.40.2, channels=2, sample_rate=48000, language=und]
2023-02-05 02:40:22.468 29007-29007 EventLogger    D  state [eventTime=12.82, mediaPos=0.00, window=0, period=0, READY]
2023-02-05 02:40:22.468 29007-29007 EventLogger    D  isPlaying [eventTime=12.82, mediaPos=0.00, window=0, period=0, true]
2023-02-05 02:40:22.469 29007-29007 EventLogger    D  timeline [eventTime=12.82, mediaPos=0.00, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:22.469 29007-29007 EventLogger    D    period [32.00]
2023-02-05 02:40:22.469 29007-29007 EventLogger    D    window [32.00, seekable=true, dynamic=false]
2023-02-05 02:40:22.470 29007-29007 EventLogger    D  ]
2023-02-05 02:40:22.546 29007-29007 EventLogger    D  timeline [eventTime=12.90, mediaPos=0.00, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:22.546 29007-29007 EventLogger    D    period [33.00]
2023-02-05 02:40:22.546 29007-29007 EventLogger    D    window [33.00, seekable=true, dynamic=false]
2023-02-05 02:40:22.546 29007-29007 EventLogger    D  ]
2023-02-05 02:40:22.591 29007-29007 EventLogger    D  timeline [eventTime=12.94, mediaPos=0.00, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:22.591 29007-29007 EventLogger    D    period [34.01]
2023-02-05 02:40:22.591 29007-29007 EventLogger    D    window [34.01, seekable=true, dynamic=false]
2023-02-05 02:40:22.591 29007-29007 EventLogger    D  ]
2023-02-05 02:40:22.634 29007-29007 EventLogger    D  timeline [eventTime=12.99, mediaPos=0.00, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:22.634 29007-29007 EventLogger    D    period [35.01]
2023-02-05 02:40:22.634 29007-29007 EventLogger    D    window [35.01, seekable=true, dynamic=false]
2023-02-05 02:40:22.634 29007-29007 EventLogger    D  ]
2023-02-05 02:40:22.699 29007-29007 EventLogger    D  timeline [eventTime=13.05, mediaPos=0.00, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:22.699 29007-29007 EventLogger    D    period [36.01]
2023-02-05 02:40:22.699 29007-29007 EventLogger    D    window [36.01, seekable=true, dynamic=false]
2023-02-05 02:40:22.699 29007-29007 EventLogger    D  ]
2023-02-05 02:40:22.755 29007-29007 EventLogger    D  timeline [eventTime=13.11, mediaPos=0.00, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:22.755 29007-29007 EventLogger    D    period [37.01]
2023-02-05 02:40:22.756 29007-29007 EventLogger    D    window [37.01, seekable=true, dynamic=false]
2023-02-05 02:40:22.756 29007-29007 EventLogger    D  ]
2023-02-05 02:40:22.791 29007-29007 EventLogger    D  timeline [eventTime=13.15, mediaPos=0.00, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:22.791 29007-29007 EventLogger    D    period [38.02]
2023-02-05 02:40:22.791 29007-29007 EventLogger    D    window [38.02, seekable=true, dynamic=false]
2023-02-05 02:40:22.791 29007-29007 EventLogger    D  ]
2023-02-05 02:40:22.827 29007-29007 EventLogger    D  timeline [eventTime=13.18, mediaPos=0.00, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:22.827 29007-29007 EventLogger    D    period [39.02]
2023-02-05 02:40:22.827 29007-29007 EventLogger    D    window [39.02, seekable=true, dynamic=false]
2023-02-05 02:40:22.827 29007-29007 EventLogger    D  ]
2023-02-05 02:40:22.856 29007-29007 EventLogger    D  timeline [eventTime=13.21, mediaPos=0.00, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:22.857 29007-29007 EventLogger    D    period [40.00]
2023-02-05 02:40:22.857 29007-29007 EventLogger    D    window [40.00, seekable=true, dynamic=false]
2023-02-05 02:40:22.857 29007-29007 EventLogger    D  ]

...

2023-02-05 02:40:27.077 29007-29007 EventLogger    D  timeline [eventTime=17.43, mediaPos=0.09, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:27.078 29007-29007 EventLogger    D    period [181.01]
2023-02-05 02:40:27.078 29007-29007 EventLogger    D    window [181.01, seekable=true, dynamic=false]
2023-02-05 02:40:27.078 29007-29007 EventLogger    D  ]
2023-02-05 02:40:27.106 29007-29007 EventLogger    D  timeline [eventTime=17.46, mediaPos=0.09, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:27.106 29007-29007 EventLogger    D    period [182.02]
2023-02-05 02:40:27.106 29007-29007 EventLogger    D    window [182.02, seekable=true, dynamic=false]
2023-02-05 02:40:27.106 29007-29007 EventLogger    D  ]
2023-02-05 02:40:27.198 29007-29007 EventLogger    D  timeline [eventTime=17.55, mediaPos=0.09, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:27.198 29007-29007 EventLogger    D    period [183.02]
2023-02-05 02:40:27.198 29007-29007 EventLogger    D    window [183.02, seekable=true, dynamic=false]
2023-02-05 02:40:27.198 29007-29007 EventLogger    D  ]
2023-02-05 02:40:27.252 29007-29007 EventLogger    D  timeline [eventTime=17.61, mediaPos=0.09, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:27.252 29007-29007 EventLogger    D    period [184.00]
2023-02-05 02:40:27.252 29007-29007 EventLogger    D    window [184.00, seekable=true, dynamic=false]
2023-02-05 02:40:27.252 29007-29007 EventLogger    D  ]
2023-02-05 02:40:27.313 29007-29007 EventLogger    D  timeline [eventTime=17.67, mediaPos=0.09, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:27.313 29007-29007 EventLogger    D    period [185.00]
2023-02-05 02:40:27.313 29007-29007 EventLogger    D    window [185.00, seekable=true, dynamic=false]
2023-02-05 02:40:27.313 29007-29007 EventLogger    D  ]
2023-02-05 02:40:27.370 29007-29007 EventLogger    D  timeline [eventTime=17.72, mediaPos=0.09, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:27.370 29007-29007 EventLogger    D    period [186.01]
2023-02-05 02:40:27.370 29007-29007 EventLogger    D    window [186.01, seekable=true, dynamic=false]
2023-02-05 02:40:27.370 29007-29007 EventLogger    D  ]
2023-02-05 02:40:27.435 29007-29007 EventLogger    D  timeline [eventTime=17.79, mediaPos=0.09, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:27.435 29007-29007 EventLogger    D    period [187.01]
2023-02-05 02:40:27.435 29007-29007 EventLogger    D    window [187.01, seekable=true, dynamic=false]
2023-02-05 02:40:27.435 29007-29007 EventLogger    D  ]
2023-02-05 02:40:27.466 29007-29007 EventLogger    D  timeline [eventTime=17.82, mediaPos=0.09, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:27.466 29007-29007 EventLogger    D    period [188.01]
2023-02-05 02:40:27.466 29007-29007 EventLogger    D    window [188.01, seekable=true, dynamic=false]
2023-02-05 02:40:27.466 29007-29007 EventLogger    D  ]
2023-02-05 02:40:27.521 29007-29007 EventLogger    D  timeline [eventTime=17.87, mediaPos=0.09, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:27.521 29007-29007 EventLogger    D    period [189.01]
2023-02-05 02:40:27.521 29007-29007 EventLogger    D    window [189.01, seekable=true, dynamic=false]
2023-02-05 02:40:27.521 29007-29007 EventLogger    D  ]
2023-02-05 02:40:27.552 29007-29007 EventLogger    D  timeline [eventTime=17.91, mediaPos=0.09, window=0, period=0, periodCount=1, windowCount=1, reason=SOURCE_UPDATE
2023-02-05 02:40:27.552 29007-29007 EventLogger    D    period [190.02]
2023-02-05 02:40:27.552 29007-29007 EventLogger    D    window [190.02, seekable=true, dynamic=false]
2023-02-05 02:40:27.552 29007-29007 EventLogger    D  ]
```
- Previous events were generated because of `extractorOutput.seekMap(parseSidx(...))` on every `sidx` frame in `FragmentedMp4Extractor#onLeafAtomRead`.
Log:
```
ChunkIndex(length=1, sizes=[32179], offsets=[793], timeUs=[0], durationsUs=[1002666])
ChunkIndex(length=1, sizes=[33349], offsets=[33024], timeUs=[1002666], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[32581], offsets=[66425], timeUs=[2005333], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[32744], offsets=[99058], timeUs=[3008000], durationsUs=[1002666])
ChunkIndex(length=1, sizes=[33090], offsets=[131854], timeUs=[4010666], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[32217], offsets=[164996], timeUs=[5013333], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[33071], offsets=[197265], timeUs=[6016000], durationsUs=[1002666])
ChunkIndex(length=1, sizes=[32502], offsets=[230388], timeUs=[7018666], durationsUs=[981334])
ChunkIndex(length=1, sizes=[32012], offsets=[262942], timeUs=[8000000], durationsUs=[1002666])
ChunkIndex(length=1, sizes=[33702], offsets=[295006], timeUs=[9002666], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[32580], offsets=[328760], timeUs=[10005333], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[32256], offsets=[361392], timeUs=[11008000], durationsUs=[1002666])
ChunkIndex(length=1, sizes=[33226], offsets=[393700], timeUs=[12010666], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[32406], offsets=[426978], timeUs=[13013333], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[33037], offsets=[459436], timeUs=[14016000], durationsUs=[1002666])
ChunkIndex(length=1, sizes=[32585], offsets=[492525], timeUs=[15018666], durationsUs=[981334])
ChunkIndex(length=1, sizes=[31998], offsets=[525162], timeUs=[16000000], durationsUs=[1002666])
ChunkIndex(length=1, sizes=[32982], offsets=[557212], timeUs=[17002666], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[33203], offsets=[590246], timeUs=[18005333], durationsUs=[1002667])
...
ChunkIndex(length=1, sizes=[32476], offsets=[1562542], timeUs=[48000000], durationsUs=[1002666])
ChunkIndex(length=1, sizes=[32649], offsets=[1595070], timeUs=[49002666], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[32527], offsets=[1627771], timeUs=[50005333], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[32471], offsets=[1660350], timeUs=[51008000], durationsUs=[1002666])
ChunkIndex(length=1, sizes=[32979], offsets=[1692873], timeUs=[52010666], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[32806], offsets=[1725904], timeUs=[53013333], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[33041], offsets=[1758762], timeUs=[54016000], durationsUs=[1002666])
ChunkIndex(length=1, sizes=[31672], offsets=[1791855], timeUs=[55018666], durationsUs=[981334])
ChunkIndex(length=1, sizes=[32266], offsets=[1823579], timeUs=[56000000], durationsUs=[1002666])
ChunkIndex(length=1, sizes=[32511], offsets=[1855897], timeUs=[57002666], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[32148], offsets=[1888460], timeUs=[58005333], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[32166], offsets=[1920660], timeUs=[59008000], durationsUs=[1002666])
ChunkIndex(length=1, sizes=[33088], offsets=[1952878], timeUs=[60010666], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[33134], offsets=[1986018], timeUs=[61013333], durationsUs=[1002667])
ChunkIndex(length=1, sizes=[32524], offsets=[2019204], timeUs=[62016000], durationsUs=[1002666])
ChunkIndex(length=1, sizes=[32108], offsets=[2051780], timeUs=[63018666], durationsUs=[981334])
ChunkIndex(length=1, sizes=[32840], offsets=[2083940], timeUs=[64000000], durationsUs=[1002666])
```
- The only difference between timelines is the value of `Timeline.window.durationUs`.

I don't know, maybe my media is corrupted or it's exoplayer bug, but how I can avoid this events spam or at least throttle it?
Media is not under my control, so the only way is to fix the client side.

### Media

[media.zip](https://github.com/google/ExoPlayer/files/10610069/media.zip)


### Bug Report

- [ ] You will email the zip file produced by `adb bugreport` to dev.exoplayer@gmail.com after filing this issue.","['bug', 'needs triage']",['rohitjoins'],,1
10963,How can I play media with delay ?,open,2023-02-04 22:48:51,2023-02-06 18:49:31,,"I want to give delay ms to media source when creating it.
Is it possible ?
I need to define the delay when setting up the player.

```kotlin
val audioSource = mediaSource.createMediaSource(MediaItem.fromUri(audioUri))
audioPlayer.setMediaSource(audioSource) // -> Can I add delay to here ?
```

Or is there an empty media source that I can define the duration of?

For this:

```kotlin
ConcatenatingMediaSource(1SecondEmptySource(), MySource())
```

",['question'],['marcbaechinger'],,1
